School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     111,     116,     124,     120,     122,     126,     124,     120,     112,      93,      95,      84,      79,       0,"   1,426",     377,  26.4,     107,   7.5,     147,  10.3,     706,  49.5,     473,  33.2,  44.4,   3.9,  24.2,  24.4,   0.1,   0.1,   2.9,  47.5,  52.5,     750,18.7,"      1,420",118.1,97.5,     606,100.0,  12.1 to 1,,,,95.0,95.0,100.0,  10.5,  85.3,   4.2,   0.0,,,,,,,        77,96.1,0.0,1.3,0.0,2.6,0.0,     351,2.0,0.6,76.0,63.0,82.9,0.0,41.3,27.0,31.7,25.4,22.2,3.2,76.0,76.0,100.0,,,,,,,,,,,,,,,70.0,482.0,472.0,
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $9,767,834","  $75,486",    129.0,,,,,,,,"          $24,591,377.00","           1,919.1","              $12,814.02","          $28,487,257.00","           2,028.0","              $14,046.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     110,     126,      96,     114,       5,     451,      16,   3.5,       6,   1.3,      49,  10.9,     135,  29.9,      92,  20.4,   3.8,   0.0,   7.3,  86.0,   0.0,   0.2,   2.7,  47.0,  53.0,     204,15.8,        451,39.2,97.5,     223,98.2,  11.5 to 1,"      $9,767,834","  $75,486",    129.0,51.0,51.0,100.0,  21.6,  76.5,   2.0,   0.0,"          $24,591,377.00","           1,919.1","              $12,814.02","          $28,487,257.00","           2,028.0","              $14,046.97",       114,94.7,0.9,0.0,0.9,3.5,0.0,     446,3.0,0.7,110.0,96.0,87.3,0.0,32.3,18.8,49.0,17.7,22.9,11.5,110.0,61.0,55.5,      70,     123,31.0,27.0,11.0,0.0,1.0,8.0,46.0,40.0,20.0,9.0,43.9,56.1,98.0,520.0,516.0,42.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     169,     165,       0,       0,       0,       0,       0,     334,      14,   4.2,       4,   1.2,      33,   9.9,      98,  29.3,      59,  17.7,   2.7,   0.9,   4.5,  88.9,   0.0,   0.0,   3.0,  51.2,  48.8,     218,21.1,        342,25.1,96.0,     118,95.8,  13.3 to 1,"      $9,767,834","  $75,486",    129.0,33.0,33.0,100.0,   6.1,  90.9,   3.0,   0.0,"          $24,591,377.00","           1,919.1","              $12,814.02","          $28,487,257.00","           2,028.0","              $14,046.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $9,767,834","  $75,486",    129.0,,,,,,,,"          $24,591,377.00","           1,919.1","              $12,814.02","          $28,487,257.00","           2,028.0","              $14,046.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     173,     161,       0,       0,       0,       0,       0,       0,       0,     334,      11,   3.3,       4,   1.2,      38,  11.4,     105,  31.4,      69,  20.7,   2.7,   0.6,   3.0,  91.6,   0.0,   0.0,   2.1,  50.6,  49.4,     121,30.4,        334,16.1,100.0,      88,100.0,  20.7 to 1,"      $9,767,834","  $75,486",    129.0,20.0,20.0,100.0,  20.0,  75.0,   5.0,   0.0,"          $24,591,377.00","           1,919.1","              $12,814.02","          $28,487,257.00","           2,028.0","              $14,046.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      74,      79,      75,      76,      67,      46,      53,      54,       0,     524,      68,  13.0,      35,   6.7,     120,  22.9,     263,  50.2,     158,  30.2,  59.5,   0.6,  22.9,  13.0,   0.0,   0.2,   3.8,  45.8,  54.2,     123,22.8,        525,42.2,78.1,     114,96.5,  12.4 to 1,,,,59.0,59.0,100.0,  18.6,  64.4,  16.9,   0.0,,,,,,,        56,91.1,7.1,0.0,1.8,0.0,0.0,     220,2.0,0.9,54.0,53.0,98.1,0.0,47.2,18.9,34.0,18.9,22.6,11.3,54.0,54.0,100.0,      60,      96,25.0,34.0,1.0,0.0,0.0,35.0,45.0,8.0,4.0,4.0,83.3,16.7,4.0,,,57.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     488,     456,     478,     480,       0,"   1,902",     271,  14.2,      20,   1.1,     246,  12.9,     337,  17.7,      88,   4.6,   1.4,  26.1,   3.3,  65.6,   0.2,   0.0,   3.4,  51.4,  48.6,     698,19.9,"      1,900",125.1,100.0,     546,100.0,  15.2 to 1,"     $29,363,081","  $79,900",    368.0,160.0,154.0,96.3,  13.6,  86.4,   0.0,   0.0,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",       474,98.3,0.8,0.0,0.0,0.8,0.0,"   1,902",6.0,0.3,473.0,425.0,89.9,0.0,51.1,6.4,42.6,5.4,1.2,14.4,473.0,297.0,62.8,     445,"   1,025",156.0,117.0,88.0,58.0,26.0,7.0,49.0,100.0,303.0,566.0,5.5,94.5,421.0,617.0,641.0,98.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,      31,      47,      49,      44,      61,      71,      66,      65,       0,       0,       0,       0,       0,       0,       0,     434,      29,   6.7,      10,   2.3,      76,  17.5,     110,  25.3,      31,   7.1,   2.5,  33.6,   3.5,  56.9,   0.2,   0.0,   3.2,  53.5,  46.5,     139,21.1,        433,27.9,100.0,     123,100.0,  15.6 to 1,"     $29,363,081","  $79,900",    368.0,37.0,35.0,94.6,   2.9,  97.1,   0.0,   0.0,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      54,      66,      71,      71,      68,      72,      74,       0,       0,       0,       0,       0,       0,       0,     476,      98,  20.6,      34,   7.1,      75,  15.8,     136,  28.6,      23,   4.8,   0.2,  22.1,   3.2,  67.0,   0.2,   0.0,   7.4,  54.0,  46.0,     149,22.9,        482,28.7,100.0,     128,100.0,  16.6 to 1,"     $29,363,081","  $79,900",    368.0,40.0,35.0,87.5,  11.4,  82.9,   5.7,   0.0,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0
