School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,      98,     124,     136,     117,     137,     124,     132,     126,     122,     117,      89,      66,      38,0.0,"   1,426",      31,   2.2,      28,   2.0,     139,   9.7, , , , ,  29.7,   4.6,  25.8,  36.0,   0.1,   0.1,   3.8,  49.0,  51.0,101.6,74.1,428.0,100.0,  14.0 to 1,,,,,,,,,,        43,88.4,2.3,0.0,7.0,0.0,2.3,     310,3.0,1.0,,,,,,,,,,,38.0,38.0,100.0,24.0,      25,23.0,1.0,0.0,0.0,0.0,9.0,9.0,5.0,2.0,0.0,72.0,28.0,38.0,454.0,420.0
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,471,211","  $66,441",    127.5,"          $20,450,308.39","           2,228.9","               $9,175.07","          $23,636,399.95","           2,306.6","              $10,247.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     141,     131,     141,     145,0.0,     558,      10,   1.8,       0,   0.0,      79,  14.2, , , , ,   2.2,   1.3,   2.3,  92.1,   0.5,   0.0,   1.6,  51.3,  48.7,38.3,100.0,185.0,100.0,  14.6 to 1,"      $8,471,211","  $66,441",    127.5,"          $20,450,308.39","           2,228.9","               $9,175.07","          $23,636,399.95","           2,306.6","              $10,247.29",       151,88.1,4.0,0.0,0.7,7.3,0.0,     558,13.0,2.3,,,,,,,,,,,134.0,134.0,100.0,71.0,     111,37.0,28.0,6.0,0.0,0.0,4.0,30.0,50.0,17.0,10.0,30.6,69.4,92.0,510.0,521.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     209,     188,       0,       0,       0,       0,0.0,     397,       2,   0.5,       0,   0.0,      85,  21.4, , , , ,   0.5,   1.3,   4.0,  93.7,   0.0,   0.0,   0.5,  47.9,  52.1,25.2,93.7,153.0,95.4,  15.7 to 1,"      $8,471,211","  $66,441",    127.5,"          $20,450,308.39","           2,228.9","               $9,175.07","          $23,636,399.95","           2,306.6","              $10,247.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,471,211","  $66,441",    127.5,"          $20,450,308.39","           2,228.9","               $9,175.07","          $23,636,399.95","           2,306.6","              $10,247.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,      99,     135,     116,     117,       0,       0,       0,       0,       0,       0,0.0,     467,       5,   1.1,       1,   0.2,      56,  12.0, , , , ,   1.7,   1.1,   3.2,  93.1,   0.0,   0.0,   0.9,  51.2,  48.8,23.0,100.0,115.0,100.0,  20.3 to 1,"      $8,471,211","  $66,441",    127.5,"          $20,450,308.39","           2,228.9","               $9,175.07","          $23,636,399.95","           2,306.6","              $10,247.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      84,      83,      75,      65,      49,      49,      44,      33,0.0,     482,      59,  12.2,       5,   1.0,      71,  14.7, , , , ,  58.7,   2.9,  16.0,  20.3,   0.0,   0.0,   2.1,  50.6,  49.4,35.1,40.7,78.0,97.4,  13.8 to 1,,,,,,,,,,        34,94.1,2.9,0.0,2.9,0.0,0.0,     175,0.0,0.0,,,,,,,,,,,33.0,33.0,100.0,41.0,      42,40.0,1.0,0.0,0.0,0.0,24.0,9.0,7.0,2.0,0.0,78.6,21.4,29.0,472.0,489.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     505,     477,     512,     459,0.0,"   1,953",     340,  17.4,      10,   0.5,     237,  12.1, , , , ,   0.9,  20.7,   2.9,  73.8,   0.1,   0.1,   1.6,  52.5,  47.5,116.5,100.0,526.0,100.0,  16.8 to 1,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",       462,96.8,1.3,0.2,0.2,1.5,0.0,"   1,953",7.0,0.4,,,,,,,,,,,452.0,263.0,58.2,417.0,     845,181.0,116.0,69.0,34.0,17.0,5.0,20.0,89.0,230.0,501.0,3.0,97.0,419.0,616.0,649.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     475,     502,       0,       0,       0,       0,0.0,     977,     181,  18.5,      10,   1.0,     135,  13.8, , , , ,   0.5,  22.4,   3.6,  71.4,   0.2,   0.0,   1.8,  47.4,  52.6,60.4,100.0,270.0,100.0,  16.2 to 1,"     $13,347,780","  $75,454",    176.9,"          $34,771,142.79","           2,927.6","              $11,877.01","          $39,499,707.33","           3,013.0","              $13,109.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      26,      72,     107,     105,     102,     102,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     514,       4,   0.8,       1,   0.2,     112,  21.8, , , , ,   0.0,   0.4,   0.0,  99.6,   0.0,   0.0,   0.0,  50.4,  49.6,41.0,100.0,136.0,100.0,  12.5 to 1,"      $3,906,641","  $53,736",     72.7,"          $10,004,572.40","           1,010.4","               $9,901.60","          $14,550,286.44","           1,342.8","              $10,835.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     118,     133,     113,     118,       0,       0,       0,       0,0.0,     482,       7,   1.5,       0,   0.0,      67,  13.9, , , , ,   1.0,   0.2,   0.6,  98.1,   0.0,   0.0,   0.0,  54.1,  45.9,31.7,100.0,234.0,100.0,  15.2 to 1,"      $3,906,641","  $53,736",     72.7,"          $10,004,572.40","           1,010.4","               $9,901.60","          $14,550,286.44","           1,342.8","              $10,835.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     243,     210,     144,      80,      61,      63,       0,0.0,     801,     145,  18.1,       0,   0.0,      37,   4.6, , , , ,   2.0,  26.3,   4.2,  64.9,   0.5,   0.0,   2.0,  54.4,  45.6,61.2,65.8,305.0,100.0,  13.1 to 1,,,,,,,,,,,,,,,,,     204,1.0,0.5,,,,,,,,,,,,,,87.0,     174,26.0,44.0,11.0,5.0,1.0,7.0,15.0,50.0,52.0,50.0,12.6,87.4,,,
