School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Worcester,MA,01606,"K,01,02,03,04,05,06,07,08,09,10,11,12",Abby Kelley Foster Charter Public (District),04450000,Charter District,       0,     117,     120,     121,     120,     111,     126,     116,     120,     113,      86,      88,      91,      97,       0,"   1,426",      43,   3.0,      43,   3.0,     162,  11.4,     971,  68.1, , ,  35.6,   4.6,  25.8,  30.2,   0.1,   0.1,   3.6,  49.1,  50.9,     779,19.1,"      1,426",116.6,92.7,     640,96.4,  12.2 to 1,,,,131.0,     118,  90.1,   3.4,  89.8,   6.8,   0.0,,,,,,,100.0,92.0,2.0,0.0,0.0,4.0,2.0,     362,2.0,0.6,,,,,,,,,,,96.0,96.0,100.0,,,,,,,,,,,,,,,85.0,469.0,468.0,
Abington: Abington Early Education Program,00010001,Public School,Abington,MA,02351,PK,Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,820,584","  $71,422",    123.5,,,,,,,,"          $22,094,058.81","           2,052.2","              $10,766.04","          $25,629,422.20","           2,138.0","              $11,987.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Abington High,00010505,Public School,Abington,MA,02351,"09,10,11,12",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     117,     136,     110,     139,       0,     502,       8,   1.6,       2,   0.4,      70,  13.9,     147,  29.3, , ,   2.6,   1.4,   3.4,  91.6,   0.2,   0.0,   0.8,  50.4,  49.6,     237,18.5,        498,39.3,100.0,     206,96.1,  12.8 to 1,"      $8,820,584","  $71,422",    123.5,,,,,,,,"          $22,094,058.81","           2,052.2","              $10,766.04","          $25,629,422.20","           2,138.0","              $11,987.57",141.0,88.7,2.1,0.0,2.8,6.4,0.0,     502,6.0,1.2,,,,,,,,,,,125.0,67.0,53.6,51.0,      75,28.0,22.0,1.0,0.0,0.0,5.0,29.0,29.0,9.0,3.0,45.3,54.7,103.0,504.0,505.0,26.0
Abington: Abington Middle School,00010405,Public School,Abington,MA,02351,"05,06,07,08",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     179,     165,       0,       0,       0,       0,       0,     344,       8,   2.3,       3,   0.9,      47,  13.7,     119,  34.6, , ,   1.5,   0.0,   5.8,  92.7,   0.0,   0.0,   0.0,  50.9,  49.1,     182,20.7,        346,22.5,100.0,     111,100.0,  15.3 to 1,"      $8,820,584","  $71,422",    123.5,,,,,,,,"          $22,094,058.81","           2,052.2","              $10,766.04","          $25,629,422.20","           2,138.0","              $11,987.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
Abington: Beaver Brook Elementary,00010020,Public School,Abington,MA,02351,"K,01,02",Abington,00010000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,820,584","  $71,422",    123.5,,,,,,,,"          $22,094,058.81","           2,052.2","              $10,766.04","          $25,629,422.20","           2,138.0","              $11,987.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abington: Woodsdale Elementary School,00010015,Public School,Abington,MA,02351,"03,04",Abington,00010000,Public School District,       0,       0,       0,       0,       0,       0,     156,     154,       0,       0,       0,       0,       0,       0,       0,     310,      11,   3.5,      10,   3.2,      47,  15.2,     131,  42.3, , ,   1.9,   1.9,   2.6,  93.2,   0.0,   0.3,   0.0,  50.3,  49.7,     110,31.9,        315,16.3,100.0,      80,100.0,  19.0 to 1,"      $8,820,584","  $71,422",    123.5,,,,,,,,"          $22,094,058.81","           2,052.2","              $10,766.04","          $25,629,422.20","           2,138.0","              $11,987.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Hyde Park,MA,02136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,       0,       0,       0,       0,       0,       0,      75,      74,      74,      82,      79,      53,      40,      26,       0,     503,      46,   9.1,       1,   0.2,      92,  18.3,     340,  67.6, , ,  57.7,   1.4,  17.7,  19.9,   0.0,   0.0,   3.4,  47.9,  52.1,     127,22.8,        493,35.9,59.1,     112,83.0,  14.0 to 1,,,,45.0,      45, 100.0,  46.7,  46.7,   6.7,   0.0,,,,,,,27.0,92.6,7.4,0.0,0.0,0.0,0.0,     198,2.0,1.0,,,,,,,,,,,25.0,25.0,100.0,35.0,      41,29.0,6.0,0.0,0.0,0.0,15.0,17.0,5.0,3.0,1.0,78.0,22.0,22.0,484.0,505.0,68.0
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Acton,MA,01720,"09,10,11,12",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     490,     473,     529,     483,       1,"   1,976",     348,  17.6,       7,   0.4,     266,  13.5,     337,  17.1, , ,   1.0,  23.3,   3.2,  70.2,   0.2,   0.0,   2.1,  50.1,  49.9,     742,19.7,"      1,989",121.7,99.7,     568,99.1,  16.2 to 1,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",480.0,97.9,1.7,0.0,0.0,0.4,0.0,"   1,975",3.0,0.2,,,,,,,,,,,479.0,124.0,25.9,451.0,     988,159.0,134.0,95.0,42.0,21.0,7.0,14.0,73.0,283.0,611.0,2.1,97.9,459.0,613.0,649.0,97.0
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Boxborough,MA,01719,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
